City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,whitehorse,60.7161,-135.0538,-19.43,74,100,2.06,CA,1706010161
83,kingston,17.997,-76.7936,27.53,83,20,8.23,JM,1706010147
84,mitu,1.1983,-70.1733,23.93,83,95,0.89,CO,1706010163
85,brisas de zicatela,15.8369,-97.0419,22.97,74,0,2.06,MX,1706010163
86,lihue,21.9789,-159.3672,24.58,85,75,5.66,US,1706010164
87,bilibino,68.0546,166.4372,-37.24,100,100,0.77,RU,1706010164
88,papatowai,-46.5619,169.4708,6.63,77,34,5.17,NZ,1706010165
89,la passe,45.5549,-0.8967,12.23,87,95,5.94,FR,1706010165
90,port alfred,-33.5906,26.891,22.32,67,91,2.24,ZA,1706010166
91,suva,-18.1416,178.4415,26.71,100,75,0.0,FJ,1706010167
92,cabo san lucas,22.8909,-109.9124,20.42,79,85,1.79,MX,1706009821
93,ilha de mocambique,-15.0342,40.7358,29.57,65,99,5.46,MZ,1706010168
94,maralal,1.0968,36.698,23.57,39,29,4.97,KE,1706010169
95,bethel,41.3712,-73.414,1.78,58,0,1.54,US,1706010169
96,powell river,49.8496,-124.5361,8.0,93,100,1.36,CA,1706010170
97,sinabang,2.4803,96.3801,27.28,80,79,0.46,ID,1706010171
98,broken hill,-31.95,141.4333,32.01,15,0,4.77,AU,1706010171
99,yellowknife,62.456,-114.3525,-24.21,95,100,1.03,CA,1706010172
100,sinaloa de leyva,25.8333,-108.2333,16.2,91,100,0.42,MX,1706010172
101,hermanus,-34.4187,19.2345,27.67,33,15,5.42,ZA,1706010173
102,codrington,-38.2667,141.9667,22.16,42,0,3.73,AU,1706010173
103,vershino-darasunskiy,52.35,115.5167,-19.58,94,88,1.82,RU,1706010174
104,dudinka,69.4058,86.1778,-16.85,98,97,4.02,RU,1706010175
105,adi keyh,14.8444,39.3772,21.12,33,4,3.24,ER,1706010175
106,wuchuan,21.4571,110.7659,7.55,78,100,4.7,CN,1706010176
107,kargasok,59.0556,80.8572,-10.79,95,100,2.8,RU,1706010176
108,talnakh,69.4865,88.3972,-17.11,98,100,2.81,RU,1706010177
109,rongelap,11.1635,166.8941,26.19,74,64,8.34,MH,1706010177
110,nemuro,43.3236,145.575,0.71,83,41,8.78,JP,1706010178
111,vilyuchinsk,52.9306,158.4028,-5.04,94,100,2.32,RU,1706010179
112,miri,4.4148,114.0089,28.08,83,20,3.6,MY,1706010179
113,ulsteinvik,62.3432,5.8487,7.09,79,84,2.68,NO,1706010180
114,tazacorte,28.629,-17.9293,21.54,78,1,1.03,ES,1706010180
115,sitka,57.0531,-135.33,6.94,81,100,4.12,US,1706010181
116,manokwari,-0.8667,134.0833,25.99,83,100,3.51,ID,1706010182
117,anadyr,64.75,177.4833,-19.72,77,0,4.0,RU,1706010183
118,carnarvon,-24.8667,113.6333,23.66,71,3,14.07,AU,1706010184
119,plouzane,48.3833,-4.6167,13.03,97,100,12.35,FR,1706010185
120,rio grande,-32.035,-52.0986,24.06,53,27,6.29,BR,1706010185
121,hawaiian paradise park,19.5933,-154.9731,21.69,90,0,2.57,US,1706010186
122,bonthe,7.5264,-12.505,32.52,55,17,1.27,SL,1706010186
123,chingirlau,51.095,54.0814,-15.56,92,9,2.58,KZ,1706010187
124,akrehamn,59.2667,5.1833,7.78,75,40,4.63,NO,1706010187
125,papao,-17.75,-149.55,25.82,74,98,3.74,PF,1706010188
126,kodiak,57.79,-152.4072,-3.27,80,100,6.69,US,1706010189
127,changleng,28.7,115.8167,0.11,55,8,3.19,CN,1706010189
128,homestead meadows north,31.8496,-106.1729,9.81,56,100,1.54,US,1706010190
129,gizo,-8.103,156.8419,28.94,80,100,4.39,SB,1706010191
130,hasaki,35.7333,140.8333,8.22,85,94,4.66,JP,1706010192
131,longyearbyen,78.2186,15.6401,-2.09,74,75,12.35,SJ,1706010192
132,st. john's,47.5649,-52.7093,-1.03,91,100,8.75,CA,1706010174
133,port mathurin,-19.6833,63.4167,28.37,85,82,9.36,MU,1706010193
134,nema,57.5067,50.5011,-10.49,79,100,6.82,RU,1706010194
135,hobyo,5.3505,48.5268,27.82,66,47,11.5,SO,1706010194
136,taroa,8.7058,171.2275,27.21,82,80,9.52,MH,1706010196
137,suwayr,30.1171,40.3893,20.52,32,31,8.26,SA,1706010196
138,sao gabriel da cachoeira,-0.1303,-67.0892,25.51,93,89,0.43,BR,1706010197
139,sandpoint,48.2766,-116.5533,4.12,95,100,0.0,US,1706009995
140,atafu village,-8.5421,-172.5159,29.15,76,93,3.75,TK,1706010198
141,buenavista del norte,28.3746,-16.861,26.25,62,0,1.48,ES,1706010198
142,ilhabela,-23.7781,-45.3581,21.74,98,100,0.68,BR,1706010199
143,mareeba,-17.0,145.4333,26.4,89,84,1.5,AU,1706010199
144,uturoa,-16.7333,-151.4333,28.01,69,100,0.64,PF,1706010200
145,tayshet,55.9342,98.0044,-20.98,100,32,1.66,RU,1706010201
146,taquari,-29.7997,-51.8644,22.94,62,22,4.24,BR,1706010201
147,isiro,2.7739,27.616,37.88,15,17,0.72,CD,1706010202
148,figuig (centre),32.1089,-1.2286,16.48,15,0,1.26,MA,1706010202
149,peace river,56.2501,-117.286,-13.83,85,20,1.54,CA,1706010203
150,cassilandia,-19.1133,-51.7342,22.44,94,100,1.28,BR,1706010204
151,mutsu,41.2894,141.2169,0.13,73,100,12.77,JP,1706010204
152,puerto ayora,-0.7393,-90.3518,25.31,98,66,1.43,EC,1706010205
153,khenifra,32.9333,-5.6667,22.4,9,0,1.32,MA,1706010205
154,cloverdale,38.8055,-123.0172,12.07,94,49,1.93,US,1706010206
155,kristiansund,63.1115,7.732,4.36,81,75,5.14,NO,1706010206
156,blackmans bay,-43.0167,147.3167,15.07,93,83,1.11,AU,1706010207
157,bereznik,62.8551,42.7072,-1.39,88,100,4.8,RU,1706010208
158,greymouth,-42.4667,171.2,12.24,64,98,5.6,NZ,1706010208
159,labuan,5.2767,115.2417,27.2,88,20,1.03,MY,1706010209
160,keelung,25.1283,121.7419,9.97,74,100,9.03,TW,1706010209
161,chonchi,-42.6128,-73.8092,16.18,85,58,1.37,CL,1706010210
162,san fernando del valle de catamarca,-28.4696,-65.7852,23.76,57,0,3.58,AR,1706010211
163,saynshand,44.8824,110.1163,-19.2,90,3,3.51,MN,1706010211
164,bikenibeu village,1.3673,173.1241,28.98,84,75,2.57,KI,1706010212
165,shiyan,32.6475,110.7781,-0.43,38,46,1.31,CN,1706010212
166,tolanaro,-25.0319,46.9987,30.04,62,40,5.14,MG,1706010213
167,bamyan,34.75,67.25,-2.28,27,0,1.83,AF,1706010213
168,sultanpur,26.2667,82.0667,15.2,38,0,2.6,IN,1706010214
